# EthiopicVariants-X.Y.Z.txt
# Date: 2023-08-19, 19:23:17 EDT
#
# This is a demonstrative file that illustrates Ethiopic Variant data, modeled after Unicode's Standard Variants data file.
#
# Format:
#   Field 0: the variation sequence
#   Field 1: the description of the desired appearance
#   Field 2: where the appearance is only different in particular shaping environments
#	this field lists them. The possible values are: isolate, initial, medial, final.
#	If more than one is present, there are spaces between them.
# =============================

# Variants of Mechiresha Mark (U+F4C3)
F4C3 FE00; short mechiresha mark; # SHORT MECHIRESHA MARK
F4C3 FE01; long mechiresha mark; # LONG MECHIRESHA MARK
F4C3 FE02; rubricated short mechiresha mark; # RUBRICATED SHORT MECHIRESHA MARK
F4C3 FE03; rubricated mechiresha mark; # RUBRICATED MECHIRESHA MARK
F4C3 FE04; rubricted long mechiresha mark; # RUBRICTED LONG MECHIRESHA MARK
F4C3 FE05; rubricated symmetric mechiresha mark; # RUBRICATED SYMMETRIC MECHIRESHA MARK
F4C3 FE06; rubricated 3,2-dot heavy mechiresha mark; # RUBRICATED 3,2-DOT HEAVY MECHIRESHA MARK
F4C3 FE07; rubricated 4-dot long mechiresha mark; # RUBRICATED 4-DOT LONG MECHIRESHA MARK

# Variants of Upward Insertion Mark (U+F4D0)
F4D0 FE00; two ring upper insertion mark; # TWO RING UPPER INSERTION MARK
F4D0 FE01; three ring upper insertion mark; # THREE RING UPPER INSERTION MARK
F4D0 FE02; inverted three ring upper insertion mark; # INVERTED THREE RING UPPER INSERTION MARK
F4D0 FE03; three ring upper insertion mark; # THREE RING UPPER INSERTION MARK

# Variants of Ethiopic Three Line Spacer (U+F4BA)
F4BA FE00; ethiopic three line spacer with inner rubricated line; # ETHIOPIC THREE LINE SPACER WITH INNER RUBRICATED LINE

# Variants of Four Ring Mekfel Mark (U+F4D6)
F4D6 FE00; cardinal parabola mekfel mark; # CARDINAL PARABOLA MEKFEL MARK

# Variants of Ethiopic Decorated Line Decoration Mark (U+F4CA)
F4CA FE00; ethiopic line decoration mark; # ETHIOPIC LINE DECORATION MARK

# Variants of Ethiopic Comma (U+1363)
1363 FE00; ethiopic triangular three dot comma; # ETHIOPIC TRIANGULAR THREE DOT COMMA

# Variants of Ethiopic Semicolon (U+1364)
1364 FE00; ethiopic semicolon with rubricated outer bars; # ETHIOPIC SEMICOLON WITH RUBRICATED OUTER BARS
1364 FE01; ethiopic semicolon with rubricated bars and rubricated inner stroke; # ETHIOPIC SEMICOLON WITH RUBRICATED BARS AND RUBRICATED INNER STROKE
1364 FE02; ethiopic semicolon with four meskel oriented rubricated dots; # ETHIOPIC SEMICOLON WITH FOUR MESKEL ORIENTED RUBRICATED DOTS
1364 FE03; ethiopic semicolon with four meskel oriented rubricated dots and rubricated inner dot; # ETHIOPIC SEMICOLON WITH FOUR MESKEL ORIENTED RUBRICATED DOTS AND RUBRICATED INNER DOT
1364 FE04; ethiopic semicolon with rubricated square serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED SQUARE SERIFS
1364 FE05; ethiopic semicolon with rubricated double winged serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED DOUBLE WINGED SERIFS
1364 FE06; ethiopic semicolon with rubricated downward winged serifs and rubricated inner stroke; # ETHIOPIC SEMICOLON WITH RUBRICATED DOWNWARD WINGED SERIFS AND RUBRICATED INNER STROKE
1364 FE07; ethiopic semicolon with rubricated double winged serifs and rubricated inner stroke; # ETHIOPIC SEMICOLON WITH RUBRICATED DOUBLE WINGED SERIFS AND RUBRICATED INNER STROKE
1364 FE08; ethiopic semicolon with rubricated context bars and downward rubricated winged serifs and rubricated inner stroke with downward winged serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED CONTEXT BARS AND DOWNWARD RUBRICATED WINGED SERIFS AND RUBRICATED INNER STROKE WITH DOWNWARD WINGED SERIFS
1364 FE09; ethiopic semicolon with four meskel oriented rubricated dots and rubricated inner dot and rubricated context bars; # ETHIOPIC SEMICOLON WITH FOUR MESKEL ORIENTED RUBRICATED DOTS AND RUBRICATED INNER DOT AND RUBRICATED CONTEXT BARS
1364 FE0A; ethiopic semicolon with rubricated context bars and downward rubricated winged serifs and with four meskel oriented rubricated dots and rubricated inner dot; # ETHIOPIC SEMICOLON WITH RUBRICATED CONTEXT BARS AND DOWNWARD RUBRICATED WINGED SERIFS AND WITH FOUR MESKEL ORIENTED RUBRICATED DOTS AND RUBRICATED INNER DOT
1364 FE0B; ethiopic semicolon with two columns of three rubricated dots; # ETHIOPIC SEMICOLON WITH TWO COLUMNS OF THREE RUBRICATED DOTS
1364 FE0C; ethiopic semicolon with rubricated double winged serifs and rubricated inner stroke with double winged serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED DOUBLE WINGED SERIFS AND RUBRICATED INNER STROKE WITH DOUBLE WINGED SERIFS
1364 FE0D; ethiopic semicolon with rubricated downward winged serifs; # ETHIOPIC SEMICOLON WITH RUBRICATED DOWNWARD WINGED SERIFS
1364 FE0E; ethiopic semicolon with rubricated inner bars and rubricated inner stroke; # ETHIOPIC SEMICOLON WITH RUBRICATED INNER BARS AND RUBRICATED INNER STROKE
1364 FE0F; ethiopic semicolon with rubricated bars and outward winged serifs and two internal lateral inner dots; # ETHIOPIC SEMICOLON WITH RUBRICATED BARS AND OUTWARD WINGED SERIFS AND TWO INTERNAL LATERAL INNER DOTS
1364 E0100; ethiopic semicolon with rubricated outward winged serifs and two outward lateral inner dots; # ETHIOPIC SEMICOLON WITH RUBRICATED OUTWARD WINGED SERIFS AND TWO OUTWARD LATERAL INNER DOTS
1364 E0102; ethiopic wordspace with two columns of three rubricated dots; # ETHIOPIC WORDSPACE WITH TWO COLUMNS OF THREE RUBRICATED DOTS
